driverRef,code
hamilton,HAM
heidfeld,HEI
rosberg,ROS
alonso,ALO
kovalainen,KOV
nakajima,NAK
bourdais,BOU
raikkonen,RAI
kubica,KUB
glock,GLO
sato,SAT
piquet_jr,PIQ
massa,MAS
coulthard,COU
trulli,TRU
sutil,SUT
webber,WEB
button,BUT
davidson,DAV
vettel,VET
fisichella,FIS
barrichello,BAR
ralf_schumacher,SCH
liuzzi,LIU
wurz,WUR
speed,SPE
albers,ALB
markus_winkelhock,WIN
yamamoto,YAM
michael_schumacher,MSC
montoya,MON
klien,KLI
monteiro,TMO
ide,IDE
villeneuve,VIL
montagny,FMO
rosa,DLR
doornbos,DOO
karthikeyan,KAR
friesacher,FRI
zonta,ZON
pizzonia,PIZ
buemi,BUE
badoer,BAD
magnussen,MAG
alguersuari,ALG
grosjean,GRO
kobayashi,KOB
bianchi,BIA
gasly,GAS
hulkenberg,HUL
petrov,PET
grassi,DIG
bruno_senna,SEN
chandhok,CHA
maldonado,MAL
resta,DIR
perez,PER
ambrosio,DAM
ricciardo,RIC
vergne,VER
pic,PIC
chilton,CHI
gutierrez,GUT
bottas,BOT
garde,VDG
jules_bianchi,BIA
kevin_magnussen,MAG
kvyat,KVY
lotterer,LOT
ericsson,ERI
stevens,STE
max_verstappen,VER
nasr,NAS
sainz,SAI
merhi,MER
rossi,RSS
jolyon_palmer,PAL
wehrlein,WEH
haryanto,HAR
vandoorne,VAN
ocon,OCO
stroll,STR
giovinazzi,GIO
brendon_hartley,HAR
leclerc,LEC
sirotkin,SIR
norris,NOR
russell,RUS
albon,ALB
latifi,LAT
pietro_fittipaldi,FIT
aitken,AIT
tsunoda,TSU
mazepin,MAZ
mick_schumacher,MSC
zhou,ZHO
de_vries,DEV
piastri,PIA
sargeant,SAR
lawson,LAW
bearman,BEA
colapinto,COL
doohan,DOO
